Dealer Name,Dealer ID,Invoice Date,Region,Governorate,City,Part Description,Unit Price,Quantity Sold,Total Sales,Operating Profit,Operating Margin
Auto Spare Parts Dealer 40 - Beheira,10039,2024-02-07,Greater Cairo,Giza,Haram,NGK Brake Pads for Kia,520.13,47,24446.11,6896.25,28.21
Auto Spare Parts Dealer 25 - Cairo,10024,2022-01-05,Upper Egypt,Luxor,Armant,Hella Battery for Nissan 1987-2015,1852.73,9,16674.57,5227.48,31.35
Auto Spare Parts Dealer 24 - Assiut,10023,2023-10-16,Greater Cairo,Giza,Haram,Denso Battery for Nissan 1987-2015,1005.77,16,16092.32,3673.88,22.83
Auto Spare Parts Dealer 24 - Assiut,10023,2024-05-06,Alexandria,Alexandria,Montazah,Bosch Windshield Wiper for Chevrolet Half-Truck,290.01,69,20010.69,7087.79,35.42
Auto Spare Parts Dealer 13 - Luxor,10012,2024-06-01,Greater Cairo,Cairo,Maadi,Champion Regular Bulb for Hyundai,192.32,78,15000.96,5707.87,38.05
Auto Spare Parts Dealer 41 - Beheira,10040,2024-12-30,Upper Egypt,Aswan,Edfu,Mobil Air Filter for Kia,364.35,94,34248.9,11055.54,32.28
Auto Spare Parts Dealer 7 - Minya,10006,2024-10-13,Upper Egypt,Assiut,Manfalout,DEPO Regular Bulb for Chevrolet Half-Truck,177.26,46,8153.96,2526.91,30.99
Auto Spare Parts Dealer 19 - Cairo,10018,2023-02-11,Upper Egypt,Minya,Mallawi,Mobil Regular Bulb for Hyundai,183.54,8,1468.32,351.22,23.92
Auto Spare Parts Dealer 33 - Minya,10032,2022-02-17,Upper Egypt,Luxor,Esna,Valeo Window Regulator for Chevrolet Half-Truck,1363.69,9,12273.21,4229.35,34.46
Auto Spare Parts Dealer 48 - Minya,10047,2023-11-20,Upper Egypt,Aswan,Nasr Nubia,Denso Battery for Toyota 1987-2015,2735.16,7,19146.12,7105.13,37.11
Auto Spare Parts Dealer 5 - Port Said,10004,2024-02-16,Upper Egypt,Luxor,Luxor First,ACDelco Regular Bulb for Toyota 1987-2015,52.2,138,7203.6,2745.29,38.11
Auto Spare Parts Dealer 6 - Minya,10005,2022-11-17,Delta,Dakahlia,Talkha,CASP Windshield Wiper for Kia,274.77,7,1923.39,503.74,26.19
Auto Spare Parts Dealer 23 - Sohag,10022,2023-01-21,Greater Cairo,Qalyubia,Qalyub,Bosch Battery for Kia,1912.38,12,22948.56,6636.72,28.92
Auto Spare Parts Dealer 38 - Aswan,10037,2022-07-24,Upper Egypt,Aswan,Nasr Nubia,Bosch Air Filter for Chevrolet Half-Truck,544.17,18,9795.06,2897.38,29.58
Auto Spare Parts Dealer 18 - Cairo,10017,2022-05-29,Upper Egypt,Sohag,Sohag First,NGK Regular Bulb for Chevrolet Half-Truck,76.28,149,11365.72,2882.35,25.36
Auto Spare Parts Dealer 29 - Qalyubia,10028,2022-12-16,Upper Egypt,Assiut,Qusiya,DEPO Windshield Wiper for Chevrolet Half-Truck,292.89,45,13180.05,3308.19,25.1
Auto Spare Parts Dealer 6 - Minya,10005,2024-11-07,Upper Egypt,Sohag,Sohag First,Magneti Marelli Battery for Hyundai,1879.78,9,16918.02,6039.73,35.7
Auto Spare Parts Dealer 33 - Minya,10032,2024-02-25,Upper Egypt,Luxor,Esna,Philips Front Headlight for Kia,1165.9,8,9327.2,2487.56,26.67
Auto Spare Parts Dealer 6 - Minya,10005,2022-01-19,Upper Egypt,Luxor,Qurna,Philips Regular Bulb for Toyota 1987-2015,109.9,142,15605.8,4737.92,30.36
Auto Spare Parts Dealer 20 - Sharqia,10019,2024-07-16,Delta,Dakahlia,Bilqas,Bosch Engine Oil for Hyundai,1955.75,11,21513.25,7512.43,34.92
Auto Spare Parts Dealer 4 - Dakahlia,10003,2023-05-10,Upper Egypt,Sohag,Akhmim,Denso Engine Oil for Toyota 1987-2015,1529.46,20,30589.2,8984.05,29.37
Auto Spare Parts Dealer 27 - Minya,10026,2023-05-17,Delta,Beheira,Kafr El Dawar,DEPO Engine Oil for Kia,1875.42,12,22505.04,5344.95,23.75
Auto Spare Parts Dealer 28 - Dakahlia,10027,2023-02-02,Delta,Sharqia,Minya Al Qamh,CASP Window Regulator for Toyota 1987-2015,592.1,23,13618.3,3404.57,25.0
Auto Spare Parts Dealer 8 - Alexandria,10007,2022-07-12,Upper Egypt,Aswan,Aswan First,CASP Alarm System for Toyota 1987-2015,2199.49,14,30792.86,8896.06,28.89
Auto Spare Parts Dealer 14 - Sohag,10013,2022-02-03,Alexandria,Alexandria,Miami,ACDelco Regular Bulb for Chevrolet Half-Truck,68.36,94,6425.84,1878.92,29.24
Auto Spare Parts Dealer 10 - Sharqia,10009,2023-04-14,Greater Cairo,Cairo,Nasr City,Hella Regular Bulb for Chevrolet Half-Truck,64.5,50,3225.0,670.48,20.79
Auto Spare Parts Dealer 48 - Minya,10047,2023-11-09,Greater Cairo,Cairo,Nasr City,Denso Engine Oil for Toyota 1987-2015,1743.78,15,26156.7,9897.7,37.84
Auto Spare Parts Dealer 26 - Sohag,10025,2022-06-04,Delta,Sharqia,Faqus,CASP Engine Oil for Toyota 1987-2015,1493.74,9,13443.66,4962.05,36.91
Auto Spare Parts Dealer 20 - Sharqia,10019,2023-07-04,Delta,Sharqia,Zagazig,Philips Battery for Chevrolet Half-Truck,1646.74,7,11527.18,2574.02,22.33
Auto Spare Parts Dealer 28 - Dakahlia,10027,2024-02-06,Canal Zone,Port Said,Dawahi,DEPO Windshield Wiper for Hyundai,282.24,19,5362.56,1326.16,24.73
Auto Spare Parts Dealer 11 - Qalyubia,10010,2022-01-26,Delta,Beheira,Edku,CASP Regular Bulb for Nissan 1987-2015,176.72,69,12193.68,4344.61,35.63
Auto Spare Parts Dealer 33 - Minya,10032,2024-05-02,Upper Egypt,Aswan,Aswan First,Bosch Engine Oil for Toyota 1987-2015,1085.81,14,15201.34,4023.79,26.47
Auto Spare Parts Dealer 21 - Minya,10020,2023-02-03,Delta,Monufia,Quesna,Denso Regular Bulb for Toyota 1987-2015,189.53,41,7770.73,2868.95,36.92
Auto Spare Parts Dealer 45 - Ismailia,10044,2024-05-07,Upper Egypt,Luxor,Qurna,CASP Windshield Wiper for Nissan 1987-2015,209.15,68,14222.2,3662.22,25.75
Auto Spare Parts Dealer 1 - Qalyubia,10000,2024-03-31,Alexandria,Alexandria,Sidi Gaber,Magneti Marelli Engine Oil for Toyota 1987-2015,1157.41,11,12731.51,4383.46,34.43
Auto Spare Parts Dealer 29 - Qalyubia,10028,2023-06-26,Greater Cairo,Qalyubia,Banha,Philips Rear Taillight for Hyundai,668.47,40,26738.8,5649.91,21.13
Auto Spare Parts Dealer 10 - Sharqia,10009,2023-08-04,Upper Egypt,Minya,Mallawi,NGK Engine Oil for Nissan 1987-2015,1503.24,12,18038.88,3909.03,21.67
Auto Spare Parts Dealer 37 - Beheira,10036,2023-01-07,Greater Cairo,Qalyubia,Shibin El Qanater,Bosch Air Filter for Kia,568.16,35,19885.6,7506.81,37.75
Auto Spare Parts Dealer 34 - Giza,10033,2022-09-05,Canal Zone,Ismailia,First District,NGK Engine Oil for Hyundai,1004.87,19,19092.53,3946.43,20.67
Auto Spare Parts Dealer 39 - Cairo,10038,2024-05-13,Alexandria,Alexandria,Smouha,Mobil Rear Taillight for Chevrolet Half-Truck,742.71,8,5941.68,1723.68,29.01
Auto Spare Parts Dealer 31 - Sohag,10030,2024-05-01,Alexandria,Alexandria,Montazah,Bosch Windshield Wiper for Chevrolet Half-Truck,285.1,22,6272.2,1949.4,31.08
Auto Spare Parts Dealer 14 - Sohag,10013,2022-02-03,Alexandria,Alexandria,Miami,ACDelco Windshield Wiper for Toyota 1987-2015,161.94,29,4696.26,986.68,21.01
Auto Spare Parts Dealer 18 - Cairo,10017,2023-01-18,Delta,Sharqia,Bilbeis,Champion Windshield Wiper for Chevrolet Half-Truck,152.67,32,4885.44,1253.12,25.65
Auto Spare Parts Dealer 12 - Dakahlia,10011,2022-02-25,Greater Cairo,Qalyubia,Toukh,Mobil Battery for Kia,1278.36,11,14061.96,3492.99,24.84
Auto Spare Parts Dealer 39 - Cairo,10038,2024-03-29,Delta,Beheira,Edku,Philips Alarm System for Kia,2131.81,10,21318.1,6414.62,30.09
Auto Spare Parts Dealer 26 - Sohag,10025,2022-05-18,Upper Egypt,Luxor,Armant,Valeo Windshield Wiper for Nissan 1987-2015,199.32,33,6577.56,1357.61,20.64
Auto Spare Parts Dealer 48 - Minya,10047,2022-03-04,Upper Egypt,Minya,Maghaghah,Philips Regular Bulb for Nissan 1987-2015,56.47,138,7792.86,2246.68,28.83
Auto Spare Parts Dealer 30 - Dakahlia,10029,2022-10-02,Delta,Beheira,Rashid,ACDelco Windshield Wiper for Nissan 1987-2015,106.58,30,3197.4,1272.25,39.79
Auto Spare Parts Dealer 7 - Minya,10006,2023-05-31,Upper Egypt,Assiut,Assiut First,NGK Regular Bulb for Toyota 1987-2015,160.28,35,5609.8,1676.21,29.88
Auto Spare Parts Dealer 37 - Beheira,10036,2024-11-03,Delta,Dakahlia,Bilqas,Valeo Air Filter for Nissan 1987-2015,526.6,21,11058.6,4171.3,37.72
Auto Spare Parts Dealer 29 - Qalyubia,10028,2022-08-19,Upper Egypt,Luxor,Armant,Magneti Marelli Engine Oil for Chevrolet Half-Truck,1807.07,7,12649.49,4427.32,35.0
Auto Spare Parts Dealer 14 - Sohag,10013,2023-03-08,Upper Egypt,Luxor,Luxor First,Valeo HID Bulb for Nissan 1987-2015,939.77,15,14096.55,3187.23,22.61
Auto Spare Parts Dealer 2 - Sharqia,10001,2023-03-05,Delta,Dakahlia,Bilqas,Denso Regular Bulb for Nissan 1987-2015,61.0,32,1952.0,700.38,35.88
Auto Spare Parts Dealer 31 - Sohag,10030,2022-09-08,Greater Cairo,Qalyubia,Banha,Bosch Battery for Hyundai,1617.88,7,11325.16,2901.51,25.62
Auto Spare Parts Dealer 1 - Qalyubia,10000,2024-03-31,Alexandria,Alexandria,Sidi Gaber,NGK Battery for Hyundai,1169.91,7,8189.37,1892.56,23.11
Auto Spare Parts Dealer 41 - Beheira,10040,2023-05-06,Delta,Dakahlia,Dikirnis,Denso Regular Bulb for Nissan 1987-2015,104.69,112,11725.28,4038.19,34.44
Auto Spare Parts Dealer 19 - Cairo,10018,2022-01-06,Canal Zone,Port Said,Dawahi,ACDelco Air Filter for Kia,322.93,23,7427.39,2500.8,33.67
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-08-02,Delta,Monufia,Berket El Sabaa,DEPO Alarm System for Kia,1588.43,9,14295.87,4617.57,32.3
Auto Spare Parts Dealer 13 - Luxor,10012,2024-05-31,Upper Egypt,Sohag,Girga,Mobil Battery for Nissan 1987-2015,1152.58,12,13830.96,5127.14,37.07
Auto Spare Parts Dealer 9 - Dakahlia,10008,2022-05-09,Greater Cairo,Cairo,Gesr El Suez,Hella Engine Oil for Nissan 1987-2015,1343.65,10,13436.5,3095.77,23.04
Auto Spare Parts Dealer 7 - Minya,10006,2022-11-11,Delta,Monufia,Berket El Sabaa,Valeo Windshield Wiper for Hyundai,141.81,54,7657.74,1857.77,24.26
Auto Spare Parts Dealer 29 - Qalyubia,10028,2023-07-08,Canal Zone,Ismailia,Sheikh Zayed,Valeo Rear Taillight for Chevrolet Half-Truck,457.58,23,10524.34,2317.46,22.02
Auto Spare Parts Dealer 28 - Dakahlia,10027,2022-09-17,Upper Egypt,Aswan,Aswan First,Philips Side Mirror for Chevrolet Half-Truck,798.51,16,12776.16,3591.38,28.11
Auto Spare Parts Dealer 43 - Dakahlia,10042,2023-08-16,Canal Zone,Ismailia,First District,ACDelco Engine Oil for Toyota 1987-2015,1204.94,14,16869.16,3765.2,22.32
Auto Spare Parts Dealer 1 - Qalyubia,10000,2023-05-29,Alexandria,Alexandria,Glim,NGK Alarm System for Nissan 1987-2015,1832.12,11,20153.32,6491.38,32.21
Auto Spare Parts Dealer 26 - Sohag,10025,2023-06-15,Delta,Beheira,Damanhour,Hella Side Mirror for Chevrolet Half-Truck,361.02,60,21661.2,7336.65,33.87
Auto Spare Parts Dealer 48 - Minya,10047,2024-02-17,Delta,Sharqia,Bilbeis,DEPO Battery for Nissan 1987-2015,1997.42,13,25966.46,6790.23,26.15
Auto Spare Parts Dealer 35 - Assiut,10034,2022-06-10,Upper Egypt,Aswan,Edfu,Philips Windshield Wiper for Hyundai,195.43,38,7426.34,2018.48,27.18
Auto Spare Parts Dealer 6 - Minya,10005,2024-11-13,Greater Cairo,Giza,Dokki,Hella Windshield Wiper for Chevrolet Half-Truck,281.01,55,15455.55,5013.78,32.44
Auto Spare Parts Dealer 24 - Assiut,10023,2022-11-09,Upper Egypt,Assiut,Assiut First,Denso Alarm System for Hyundai,1591.1,8,12728.8,3228.02,25.36
Auto Spare Parts Dealer 10 - Sharqia,10009,2022-10-16,Delta,Dakahlia,Mit Ghamr,Champion Side Mirror for Toyota 1987-2015,642.2,20,12844.0,3465.31,26.98
Auto Spare Parts Dealer 8 - Alexandria,10007,2023-01-21,Greater Cairo,Giza,Dokki,Valeo Battery for Nissan 1987-2015,1766.45,15,26496.75,6568.54,24.79
Auto Spare Parts Dealer 39 - Cairo,10038,2024-03-26,Delta,Beheira,Damanhour,ACDelco Brake Cylinder for Hyundai,1430.59,22,31472.98,9158.64,29.1
Auto Spare Parts Dealer 37 - Beheira,10036,2022-06-21,Delta,Monufia,Bagour,Mobil Air Filter for Hyundai,588.4,36,21182.4,4276.73,20.19
Auto Spare Parts Dealer 22 - Minya,10021,2023-09-04,Upper Egypt,Minya,Maghaghah,CASP Side Mirror for Chevrolet Half-Truck,451.26,43,19404.18,7515.24,38.73
Auto Spare Parts Dealer 41 - Beheira,10040,2022-10-09,Upper Egypt,Luxor,Qurna,Denso Alarm System for Hyundai,1893.76,14,26512.64,10050.94,37.91
Auto Spare Parts Dealer 17 - Monufia,10016,2024-12-16,Upper Egypt,Minya,Beni Mazar,Hella Rear Taillight for Nissan 1987-2015,520.46,19,9888.74,2449.44,24.77
Auto Spare Parts Dealer 2 - Sharqia,10001,2022-12-23,Delta,Beheira,Kafr El Dawar,DEPO Windshield Wiper for Hyundai,179.54,110,19749.4,6699.0,33.92
Auto Spare Parts Dealer 44 - Monufia,10043,2022-06-02,Delta,Sharqia,Minya Al Qamh,Magneti Marelli Brake Pads for Chevrolet Half-Truck,517.08,36,18614.88,4795.19,25.76
Auto Spare Parts Dealer 20 - Sharqia,10019,2022-01-15,Delta,Beheira,Edku,CASP Engine Oil for Nissan 1987-2015,1310.4,13,17035.2,3865.29,22.69
Auto Spare Parts Dealer 41 - Beheira,10040,2023-05-30,Upper Egypt,Aswan,Nasr Nubia,Bosch Battery for Nissan 1987-2015,1246.88,9,11221.92,2771.81,24.7
Auto Spare Parts Dealer 37 - Beheira,10036,2023-03-25,Greater Cairo,Qalyubia,Khanka,Valeo Windshield Wiper for Chevrolet Half-Truck,248.42,24,5962.08,1483.96,24.89
Auto Spare Parts Dealer 9 - Dakahlia,10008,2023-07-13,Alexandria,Alexandria,Miami,Denso Brake Cylinder for Kia,1039.23,23,23902.29,6773.91,28.34
Auto Spare Parts Dealer 32 - Monufia,10031,2023-01-28,Alexandria,Alexandria,Smouha,Bosch Windshield Wiper for Chevrolet Half-Truck,279.55,97,27116.35,9295.48,34.28
Auto Spare Parts Dealer 26 - Sohag,10025,2022-09-22,Greater Cairo,Qalyubia,Toukh,NGK Regular Bulb for Kia,121.48,123,14942.04,4960.76,33.2
Auto Spare Parts Dealer 30 - Dakahlia,10029,2022-05-03,Alexandria,Alexandria,Smouha,Valeo Regular Bulb for Chevrolet Half-Truck,199.95,90,17995.5,7048.84,39.17
Auto Spare Parts Dealer 36 - Port Said,10035,2022-06-06,Greater Cairo,Qalyubia,Banha,CASP Regular Bulb for Nissan 1987-2015,89.59,57,5106.63,1783.75,34.93
Auto Spare Parts Dealer 41 - Beheira,10040,2024-04-29,Greater Cairo,Qalyubia,Banha,CASP Brake Pads for Kia,676.63,48,32478.24,10834.74,33.36
Auto Spare Parts Dealer 21 - Minya,10020,2024-08-03,Greater Cairo,Cairo,Nasr City,DEPO Regular Bulb for Toyota 1987-2015,138.01,101,13939.01,3975.41,28.52
Auto Spare Parts Dealer 23 - Sohag,10022,2024-04-22,Delta,Sharqia,Bilbeis,Magneti Marelli HID Bulb for Chevrolet Half-Truck,621.83,14,8705.62,3178.42,36.51
Auto Spare Parts Dealer 40 - Beheira,10039,2022-05-31,Alexandria,Alexandria,Sidi Gaber,Valeo Battery for Kia,1602.65,15,24039.75,5555.59,23.11
Auto Spare Parts Dealer 16 - Assiut,10015,2023-03-16,Upper Egypt,Assiut,Abnoub,Philips Regular Bulb for Hyundai,51.9,93,4826.7,1709.13,35.41
Auto Spare Parts Dealer 41 - Beheira,10040,2023-06-08,Alexandria,Alexandria,Miami,Magneti Marelli Alarm System for Nissan 1987-2015,2007.76,10,20077.6,5746.21,28.62
Auto Spare Parts Dealer 8 - Alexandria,10007,2023-12-07,Upper Egypt,Sohag,Tahta,Magneti Marelli Windshield Wiper for Hyundai,264.24,15,3963.6,920.35,23.22
Auto Spare Parts Dealer 16 - Assiut,10015,2024-08-31,Delta,Sharqia,Faqus,Champion HID Bulb for Hyundai,669.1,17,11374.7,2329.54,20.48
Auto Spare Parts Dealer 5 - Port Said,10004,2022-01-23,Delta,Monufia,Menouf,Magneti Marelli Rear Taillight for Nissan 1987-2015,582.92,12,6995.04,2223.02,31.78
Auto Spare Parts Dealer 36 - Port Said,10035,2022-03-31,Canal Zone,Ismailia,Sheikh Zayed,Valeo Windshield Wiper for Kia,121.26,129,15642.54,4555.11,29.12
Auto Spare Parts Dealer 28 - Dakahlia,10027,2023-10-11,Greater Cairo,Cairo,Nasr City,NGK Brake Pads for Chevrolet Half-Truck,464.06,8,3712.48,1472.74,39.67
Auto Spare Parts Dealer 2 - Sharqia,10001,2023-02-06,Upper Egypt,Minya,Samalut,DEPO Rear Taillight for Chevrolet Half-Truck,618.63,36,22270.68,7153.34,32.12
Auto Spare Parts Dealer 48 - Minya,10047,2024-03-21,Upper Egypt,Sohag,Tahta,Champion Side Mirror for Hyundai,540.39,33,17832.87,6011.46,33.71
Auto Spare Parts Dealer 17 - Monufia,10016,2024-05-15,Canal Zone,Ismailia,Sheikh Zayed,Magneti Marelli Windshield Wiper for Chevrolet Half-Truck,280.83,62,17411.46,5181.65,29.76
Auto Spare Parts Dealer 5 - Port Said,10004,2022-04-13,Greater Cairo,Cairo,Maadi,Champion Air Filter for Nissan 1987-2015,431.6,27,11653.2,3596.18,30.86
Auto Spare Parts Dealer 15 - Sharqia,10014,2022-05-24,Delta,Monufia,Berket El Sabaa,Magneti Marelli Rear Taillight for Kia,423.26,33,13967.58,5566.08,39.85
Auto Spare Parts Dealer 31 - Sohag,10030,2023-08-19,Greater Cairo,Cairo,Nasr City,NGK Engine Oil for Nissan 1987-2015,1020.59,20,20411.8,5392.8,26.42
Auto Spare Parts Dealer 16 - Assiut,10015,2024-04-16,Greater Cairo,Cairo,Zeitoun,Magneti Marelli Regular Bulb for Chevrolet Half-Truck,126.19,44,5552.36,1979.97,35.66
Auto Spare Parts Dealer 40 - Beheira,10039,2024-03-15,Delta,Sharqia,Faqus,Valeo Battery for Nissan 1987-2015,2091.38,10,20913.8,7031.22,33.62
Auto Spare Parts Dealer 13 - Luxor,10012,2024-02-03,Upper Egypt,Aswan,Edfu,Champion Alarm System for Nissan 1987-2015,1685.2,17,28648.4,10648.61,37.17
Auto Spare Parts Dealer 32 - Monufia,10031,2023-01-24,Alexandria,Alexandria,Smouha,DEPO Air Filter for Nissan 1987-2015,214.32,14,3000.48,1086.47,36.21
Auto Spare Parts Dealer 35 - Assiut,10034,2024-02-18,Delta,Beheira,Kafr El Dawar,DEPO Regular Bulb for Hyundai,66.84,81,5414.04,1567.36,28.95
Auto Spare Parts Dealer 7 - Minya,10006,2024-11-28,Greater Cairo,Cairo,Shubra,Valeo Regular Bulb for Kia,197.52,93,18369.36,4449.06,24.22
Auto Spare Parts Dealer 28 - Dakahlia,10027,2023-09-08,Delta,Beheira,Kafr El Dawar,NGK Regular Bulb for Toyota 1987-2015,71.48,15,1072.2,328.52,30.64
Auto Spare Parts Dealer 26 - Sohag,10025,2024-04-20,Greater Cairo,Qalyubia,Banha,DEPO Side Mirror for Kia,574.9,32,18396.8,5320.35,28.92
Auto Spare Parts Dealer 47 - Alexandria,10046,2023-08-30,Greater Cairo,Giza,Dokki,Champion Regular Bulb for Kia,163.81,23,3767.63,1040.24,27.61
Auto Spare Parts Dealer 39 - Cairo,10038,2023-03-27,Upper Egypt,Aswan,Edfu,Hella Side Mirror for Nissan 1987-2015,735.44,21,15444.24,5890.43,38.14
Auto Spare Parts Dealer 21 - Minya,10020,2023-02-03,Delta,Monufia,Quesna,DEPO Windshield Wiper for Toyota 1987-2015,112.63,44,4955.72,1206.72,24.35
Auto Spare Parts Dealer 26 - Sohag,10025,2024-03-17,Upper Egypt,Assiut,Manfalout,Magneti Marelli Windshield Wiper for Chevrolet Half-Truck,164.15,58,9520.7,3599.78,37.81
Auto Spare Parts Dealer 5 - Port Said,10004,2023-11-27,Greater Cairo,Giza,Haram,ACDelco Side Mirror for Kia,686.66,24,16479.84,3767.29,22.86
Auto Spare Parts Dealer 1 - Qalyubia,10000,2022-07-03,Delta,Dakahlia,Mit Ghamr,ACDelco Windshield Wiper for Nissan 1987-2015,122.89,106,13026.34,3363.4,25.82
Auto Spare Parts Dealer 8 - Alexandria,10007,2023-06-28,Upper Egypt,Aswan,Edfu,Mobil Alarm System for Nissan 1987-2015,2368.02,11,26048.22,5261.74,20.2
Auto Spare Parts Dealer 34 - Giza,10033,2023-06-17,Delta,Sharqia,Zagazig,ACDelco Side Mirror for Toyota 1987-2015,658.21,17,11189.57,3447.51,30.81
Auto Spare Parts Dealer 33 - Minya,10032,2024-09-23,Canal Zone,Ismailia,Qantara Sharq,Valeo Brake Pads for Hyundai,484.75,16,7756.0,1837.4,23.69
Auto Spare Parts Dealer 39 - Cairo,10038,2022-06-13,Delta,Sharqia,Abu Kabir,Magneti Marelli Windshield Wiper for Toyota 1987-2015,222.93,35,7802.55,2586.55,33.15
Auto Spare Parts Dealer 7 - Minya,10006,2023-10-07,Upper Egypt,Luxor,Esna,Valeo Side Mirror for Kia,421.49,34,14330.66,5217.79,36.41
Auto Spare Parts Dealer 24 - Assiut,10023,2022-01-02,Delta,Monufia,Berket El Sabaa,Philips Windshield Wiper for Kia,261.11,56,14622.16,4646.92,31.78
Auto Spare Parts Dealer 45 - Ismailia,10044,2022-09-02,Delta,Beheira,Kafr El Dawar,Bosch Regular Bulb for Hyundai,68.53,135,9251.55,2428.53,26.25
